ART_ID,CODE,CONTEXT,COUNTRY,CONDITION,ARTEFACT,SUB_CATEGORY,LONGITUDE,LATITUDE,RECOVERY_METHOD,CLASSIFICATION,BP_ASSOCIATION,TP_ASSOCIATION,ABS_DATE_METHOD,ABS_DATE_1,ABS_DATE_STD_1,ABS_DATE_ID_1,ABS_DATE_2,ABS_DATE_STD_2,ABS_DATE_ID_2,ABS_DATE_3,ABS_DATE_STD_3,ABS_DATE_ID_3,ABS_DATE_4,ABS_DATE_STD_4,ABS_DATE_ID_4,ABS_DATE_5,ABS_DATE_STD_5,ABS_DATE_ID_5,RELAT_DATE_METHOD,RELAT_DATE_CHRONO,RAW_MAT,DORS_BLADE_PROF,BLADE_DET,BLADE_CURV,DORSAL_PATTERN,BULB_MORPH,CONUS_FORM,BUTT_MORPH,BUTT_PREP_1,BUTT_PREP_2,CORE_MORPH,PLAT_REJUV,CORE_METHOD,CORE_DIRECTIONALITY,CORE_TABLET_REJUV,CORE_FLAKE_REJUV,CORE_FRONT_REJUV,CORE_DIST_REJUV,CORE_SIDE_REJUV,TANG_ORIENTATION,WEIGHT,LENGTH,WIDTH,ELONGATION,THICKNESS,PLAT_DEPTH,CORE_LENGTH,CORE_WIDTH,CORE_BREADTH,CORE_ELONGATION,TCSA,TCSP,BURINATION,REFERENCES
BIEN_2039,BIEN,Bienenbüttel (FStNr. 15),Germany,Complete,Backed Point,Creswellian/Penknife Point,10.539,53.357,Excavation,Bienenbüttel,Y,N,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,1.19,35.1,11.85,2.962025316,2.01,,,,,,11.91,18.11,N,Richter (2001)
BIEN_2163,BIEN,Bienenbüttel (FStNr. 15),Germany,Complete,Blade,,10.539,53.357,Excavation,Bienenbüttel,Y,N,,,,,,,,,,,,,,,,,,,Flint,TDNC,ID,DI,BI,BF,NFO,PUNB,PLA,DT,,,,,,,,,,,1.34,38.73,11.62,3.333046472,4.6,1.17,,,,,,,,Richter (2001)
BIEN_2180,BIEN,Bienenbüttel (FStNr. 15),Germany,Complete,Backed Point,Federmesser Point,10.539,53.357,Excavation,Bienenbüttel,Y,N,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,3.11,40.33,13.69,2.945945946,2.41,,,,,,16.5,20.95,N,Richter (2001)
BIEN_2229,BIEN,Bienenbüttel (FStNr. 15),Germany,Complete,Backed Point,Creswellian/Penknife Point,10.539,53.357,Excavation,Bienenbüttel,Y,N,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,1.22,33.81,12.96,2.608796296,1.94,,,,,,12.57,19.72,N,Richter (2001)
BIEN_768,BIEN,Bienenbüttel (FStNr. 15),Germany,Complete,Blade,,10.539,53.357,Excavation,Bienenbüttel,Y,N,,,,,,,,,,,,,,,,,,,Flint,TDNC,ID,ST,UNI,BLF,NFO,LOB,FGTTS,DT,,,,,,,,,,,8.17,72.81,17.9,4.067597765,7.64,4.35,,,,,,,,Richter (2001)
BIEN_780,BIEN,Bienenbüttel (FStNr. 15),Germany,Complete,Blade,,10.539,53.357,Excavation,Bienenbüttel,Y,N,,,,,,,,,,,,,,,,,,,Flint,TDOC,ID,EV,CON,BF,NFO,LTB,PLA,NCU,,,,,,,,,,,4.29,48.1,14.89,3.230355944,5.65,4.92,,,,,,,,Richter (2001)
BIEN_955,BIEN,Bienenbüttel (FStNr. 15),Germany,Complete,Blade,,10.539,53.357,Excavation,Bienenbüttel,Y,N,,,,,,,,,,,,,,,,,,,Flint,THDNC,HI,ST,UNI,NBOL,NFO,BAB,B,NCU,,,,,,,,,,,1.03,46.9,8.41,5.576694411,3.42,2.51,,,,,,,,Richter (2001)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Backed Point,Backed Point (Unclassified),9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,DISTAL,12.65,45.12,20.06,2.249252243,4.54,,,,,,45.54,31.07,Y,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Backed Point,Backed Point (Unclassified),9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,DISTAL,3.72,34.82,7.95,4.379874214,4.63,,,,,,18.4,14.05,N,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Backed Point,Backed Point (Unclassified),9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,DISTAL,4.93,39.23,11.74,3.341567291,4.17,,,,,,24.48,18.94,N,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Backed Point,Backed Point (Unclassified),9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,16.11,55.19,17.99,3.067815453,5.92,,,,,,53.25,28.76,N,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Backed Point,Backed Point (Unclassified),9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,19.21,59.12,19.76,2.991902834,6.1,,,,,,60.27,31.37,N,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Backed Point,Backed Point (Unclassified),9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,6.59,32.96,11.26,2.927175844,6.13,,,,,,34.51,19.58,Y,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Backed Point,Backed Point (Unclassified),9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,5.15,34.89,14.12,2.470963173,4.61,,,,,,32.55,22.55,Y,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Backed Point,Backed Point (Unclassified),9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,8.24,43.89,13.15,3.337642586,4.93,,,,,,32.41,21.37,Y,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Backed Point,Backed Point (Unclassified),9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,4.75,34.54,10.42,3.314779271,3.62,,,,,,18.86,16.76,N,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Backed Point,Backed Point (Unclassified),9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,16.24,48.82,16.73,2.918111178,6.23,,,,,,52.11,27.16,N,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Backed Point,Backed Point (Unclassified),9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,4.89,38.12,8,4.765,3.08,,,,,,12.32,13.05,N,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Backed Point,Backed Point (Unclassified),9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,3.57,29.28,9.24,3.168831169,3.42,,,,,,15.8,14.99,N,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Backed Point,Backed Point (Unclassified),9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,4.74,37.24,6.41,5.809672387,4.47,,,,,,14.33,11.91,N,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Tanged Point,Bromme Point,9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,14.92,46.78,18.98,2.464699684,5.61,,,,,,53.24,30,Y,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Tanged Point,Tanged Point (Unclassified),9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,11.76,56.56,14.42,3.922330097,5.12,,,,,,36.92,23.26,N,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Tanged Point,Tanged Point (Unclassified),9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,7.89,39.95,10.04,3.979083665,7.18,,,,,,36.04,18.8,N,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Blade,,9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,THDNC,HI,EV,BI,BLF,NFO,LTB,FGTTS,CU,,,,,,,,,,,6.24,32.94,11.75,2.803404255,5.64,1.27,,,,,,,,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Blade,,9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,MDF,ID,VB,CON,BLF,NFO,TOB,PLA,DT,,,,,,,,,,,14.94,29.79,11.44,2.604020979,4.01,2.1,,,,,,,,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Blade,,9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,TDNC,ID,EV,CON,LF,DB,LTB,FTS,DT,,,,,,,,,,,4.24,33.17,11.86,2.796795953,4.21,1.19,,,,,,,,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Blade,,9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,THDNC,PL,EV,UNI,NBOL,DB,PUNB,FTS,DT,,,,,,,,,,,4.32,30.98,11.42,2.712784588,5.9,1.12,,,,,,,,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Blade,,9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,TDNC,ID,ST,UNI,BLF,NFO,LTB,FGTTS,DT,,,,,,,,,,,3.92,29.12,11.48,2.536585366,3.92,2.74,,,,,,,,Breest and Gerken (2008)
Brümmerhof (2: UNCATALOGUED),BRUM,Brümmerhof (FStNr. 16),Germany,Complete,Blade,,9.257,53.256,Surface Collection,Bromme,Y,Y,,,,,,,,,,,,,,,,,,,Flint,TDNC,ID,ST,UNI,NBOL,DB,BAB,B,B,,,,,,,,,,,5.88,40.52,12.22,3.315875614,4.27,2.73,,,,,,,,Breest and Gerken (2008)
FHM_2062_HOJGARD_AHO,HOJG,Højgård,Denmark,Complete,Core,,12.455,55.749,Excavation,Bromme,N,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,OP,SS,SRO,CUNI,N,N,N,N,N,,137.41,,,,,,67.86,43.98,51.5,1.542974079,,,,
FHM_2062_HOJGARD_AJU_1,HOJG,Højgård,Denmark,Complete,Blade,,12.455,55.749,Excavation,Bromme,N,Y,,,,,,,,,,,,,,,,,,,Flint,TDOC,ID,ST,UNI,BLF,NFO,LTB,PLA,DA,,,,,,,,,,,50.82,83.37,40.37,2.065147387,17.79,6.88,,,,,,,,
FHM_2062_HOJGARD_AJU_2,HOJG,Højgård,Denmark,Complete,Blade,,12.455,55.749,Excavation,Bromme,N,Y,,,,,,,,,,,,,,,,,,,Flint,THDNC,ID,ST,CON,BLF,NFO,LTB,PLA,NCU,,,,,,,,,,,4.47,61.52,17.12,3.593457944,6.9,4.01,,,,,,,,
HACK_1000,HACK,Häcklingen (FStNr. 19),Germany,Complete,Blade,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,TDNC,ID,EV,UNI,BLF,NFO,BAB,PLA,NCU,,,,,,,,,,,7.41,59.42,19.59,3.033180194,6.54,3.69,,,,,,,,Richter (2002)
HACK_1304,HACK,Häcklingen (FStNr. 19),Germany,Complete,Blade,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,TDNC,ID,ST,SAP,BF,NFO,LTB,PLA,NCU,,,,,,,,,,,9.69,65.16,16.33,3.990202082,3.74,3.01,,,,,,,,Richter (2002)
HACK_1334,HACK,Häcklingen (FStNr. 19),Germany,Complete,Blade,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,TDNC,FE,ST,UNI,BLF,NFO,SB,FGTTS,DT,,,,,,,,,,,7.33,69.66,20.72,3.361969112,5.62,4.2,,,,,,,,Richter (2002)
HACK_1351,HACK,Häcklingen (FStNr. 19),Germany,Complete,Blade,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,CBOU,FE,DI,SAP,NBOL,DB,BAB,B,DA,,,,,,,,,,,5.11,65.79,15.87,4.145557656,6.54,2.27,,,,,,,,Richter (2002)
HACK_1352,HACK,Häcklingen (FStNr. 19),Germany,Complete,Blade,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,THDNC,ID,DI,UNI,BF,NFO,LTB,PLA,NCU,,,,,,,,,,,4.35,55.08,13.68,4.026315789,6.1,5.15,,,,,,,,Richter (2002)
HACK_1362,HACK,Häcklingen (FStNr. 19),Germany,Complete,Blade,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,THDNC,FE,DI,CON,BLF,RCB,LTB,PLA,DAG,,,,,,,,,,,0.74,53.91,27.03,1.99445061,2.42,3.16,,,,,,,,Richter (2002)
HACK_1363,HACK,Häcklingen (FStNr. 19),Germany,Complete,Blade,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,THDNC,FE,ST,UNI,BF,NFO,LTB,PLA,NCU,,,,,,,,,,,7.62,39.87,16.88,2.361966825,4.67,1.39,,,,,,,,Richter (2002)
HACK_2416,HACK,Häcklingen (FStNr. 19),Germany,Complete,Blade,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,THDNC,FE,VB,UNI,BF,NFO,LTB,PLA,NCU,,,,,,,,,,,7.91,52.92,23.65,2.237632135,5.61,5.28,,,,,,,,Richter (2002)
HACK_2615,HACK,Häcklingen (FStNr. 19),Germany,Complete,Blade,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,TDNC,HI,EV,UNI,NBOL,DB,BAB,B,NCU,,,,,,,,,,,1.91,40.24,9.52,4.226890756,4.33,3.55,,,,,,,,Richter (2002)
HACK_2637,HACK,Häcklingen (FStNr. 19),Germany,Complete,Blade,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,THDOC,PL,ST,UNI,BF,NFO,PUNB,PLA,NCU,,,,,,,,,,,8.53,66.59,19.04,3.49737395,8.22,2.4,,,,,,,,Richter (2002)
